,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M. Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
0,acessoalmirantetamandare,1.18,1.1,1.41,0.3,3.92,2.86,0.11,4.78,1.0,0.0,0.0,0.0,4.16,2.29,0.5,0.89,0.25,2.0,0.25,0.94,0.25,0.0,1.07,1.0,1.0,2.0
1,acessoboqueirao,1.2,0.95,1.48,0.92,1.17,0.6,0.46,0.91,0.2,0.5,2.5,0.0,2.42,0.92,0.59,0.55,0.46,1.25,0.31,0.82,0.0,0.0,0.93,0.31,0.23,0.55
2,acessocampolargo,1.31,1.03,0.71,0.4,2.42,0.71,0.05,6.56,2.0,0.0,2.0,0.0,4.37,2.71,0.7,0.67,0.5,2.5,0.25,0.86,0.0,0.0,0.95,0.25,0.58,0.5
3,acessocampolargokids,1.26,0.95,2.06,0.0,2.5,0.0,0.11,0.44,0.0,0.5,0.0,0.0,0.58,0.0,0.1,0.22,0.0,0.67,1.5,1.03,0.0,0.0,1.09,0.75,0.5,0.0
4,acessofazendariogrande,1.34,1.03,0.47,0.6,0.92,1.0,0.05,2.0,1.0,0.0,0.0,0.0,3.53,1.93,0.4,1.0,0.25,1.83,0.5,0.86,0.25,0.0,1.02,2.0,0.5,0.0
5,acessohauer,1.39,0.87,1.41,0.1,2.33,1.14,0.84,2.44,0.5,2.25,0.0,0.0,3.05,1.71,0.2,0.44,0.0,2.0,6.25,0.96,0.5,0.0,1.09,9.0,2.33,2.0
6,acessopinhais,1.32,1.0,0.59,0.7,0.67,1.14,0.11,2.44,0.5,0.0,6.0,0.0,3.74,3.79,0.4,0.22,0.5,0.33,0.25,0.97,1.5,0.0,0.99,0.25,0.17,0.5
7,acessosantafelicidade,1.19,0.98,1.84,0.33,4.35,1.27,0.15,9.09,1.4,0.0,2.5,0.0,3.23,1.5,1.05,2.36,0.54,0.25,0.62,0.8,0.0,0.0,0.91,0.62,1.0,2.45
8,acessosjpinhais,1.04,1.27,0.45,0.79,0.91,1.67,2.85,0.36,0.4,0.62,0.0,0.0,1.71,1.0,0.44,0.86,0.46,3.06,7.69,0.82,0.4,1.25,1.1,3.75,1.14,2.09
9,adrianochan,1.03,1.25,0.0,1.79,0.52,0.0,0.0,2.36,4.2,2.5,0.0,0.0,0.45,0.25,0.51,0.14,1.62,0.44,0.0,1.25,2.0,0.5,1.16,0.0,0.05,0.0
10,aescobjetivo,1.41,1.12,0.7,0.0,1.69,0.0,0.12,1.91,0.1,1.0,4.76,0.0,1.76,0.0,2.33,1.04,0.82,3.08,0.62,0.84,10.0,0.0,0.7,0.48,1.76,1.15
11,albertsabin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,amadeus,1.18,1.16,3.87,0.61,1.39,2.0,0.22,2.62,2.4,0.0,0.0,0.0,2.14,1.65,1.48,6.25,2.06,3.57,0.25,0.84,0.0,0.14,0.95,0.54,1.64,2.43
13,apogeustoantonio2,1.67,1.03,0.0,0.72,0.11,0.36,0.11,0.55,2.4,0.0,0.0,14.29,0.76,0.47,1.9,0.31,1.56,0.18,0.0,1.2,0.0,0.0,0.85,0.0,0.29,0.14
14,aprovest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,brasilcursinhos,1.32,0.92,0.41,1.7,0.58,7.86,2.16,3.33,0.0,0.5,0.0,0.0,1.32,3.79,0.4,1.0,1.0,1.0,4.25,1.01,0.0,0.0,0.62,0.25,4.92,0.0
16,camerinocursos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,1.19,0.0,0.0,0.0
17,casdinhosjc,1.23,1.52,0.0,0.89,0.0,0.08,0.0,0.14,0.35,0.0,0.0,0.0,0.16,0.06,0.13,0.06,0.22,0.0,0.0,1.2,0.0,0.0,1.37,0.08,0.14,0.0
18,casdvest,1.38,1.31,0.27,0.28,0.06,0.04,0.44,0.17,0.0,0.0,0.0,0.0,0.11,0.0,0.23,0.0,0.17,0.07,0.0,1.2,0.0,0.0,1.37,0.0,0.07,0.0
19,cbpdigital,0.0,0.0,0.0,0.0,0.59,0.0,0.0,1.78,0.0,0.0,0.0,12.5,0.86,0.0,1.97,0.6,0.0,0.11,0.0,1.15,0.0,0.0,1.0,0.0,0.0,0.0
20,ceabb,1.35,0.92,1.18,0.6,1.17,3.43,0.21,0.44,0.0,0.5,1.0,5.5,0.58,3.14,2.4,4.78,0.75,0.5,0.0,1.11,0.25,0.0,1.09,0.25,2.58,0.5
21,ceespacolivre,1.13,1.15,1.03,0.0,0.7,0.2,0.62,0.55,0.0,0.0,0.0,0.0,0.45,0.08,0.64,1.45,0.23,0.38,0.23,1.11,2.0,0.0,1.16,0.44,0.64,6.0
22,cem,1.06,1.03,1.18,2.5,2.25,8.0,0.58,2.67,2.5,0.25,0.0,2.5,3.84,6.29,1.7,4.11,0.75,1.5,1.5,1.04,1.25,0.0,1.08,1.75,1.67,2.0
23,ceprimeiromundo,1.38,1.07,1.09,0.11,1.46,0.24,0.25,0.82,0.0,0.42,0.0,0.0,0.47,0.07,1.19,3.12,0.05,0.88,0.77,1.07,0.2,0.0,1.05,0.52,0.7,0.54
24,ciadosaber,1.37,1.1,0.06,0.1,3.0,0.14,0.42,0.0,0.0,0.0,0.0,0.0,1.74,0.29,1.8,4.89,0.0,0.67,0.25,1.06,0.0,0.0,1.09,1.25,2.17,0.0
25,cnslpb,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4.17,0.0,0.0,1.56,0.0,0.0,1.29,0.0,0.0,0.0
26,colegioarena,1.05,1.0,6.67,0.44,0.56,0.0,0.0,0.62,0.0,0.0,0.0,0.0,2.59,0.06,0.52,2.56,0.17,0.79,0.0,1.2,0.2,0.0,1.07,0.0,0.0,0.14
27,colegiobatistaindependente,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.94,0.0,0.0,0.0,0.0,2.28,0.0,2.63,0.75,1.53,2.53,0.0,1.14,0.0,0.0,1.12,0.0,0.0,0.0
28,colegiobetelbrasileirosp,0.79,1.67,0.52,0.0,0.52,0.0,0.08,1.55,0.0,0.25,0.0,0.0,1.16,0.0,0.26,0.55,0.0,0.56,0.31,1.05,0.0,0.0,1.14,0.12,0.09,0.09
29,colegiobilac,0.97,0.97,2.24,2.7,7.33,1.0,0.05,5.78,2.5,0.0,0.0,0.0,2.95,1.93,1.4,0.89,0.0,1.67,1.25,1.07,0.25,0.0,1.09,2.25,2.08,0.0
30,colegiobrasilia,1.55,1.11,0.33,0.56,5.56,4.0,11.11,2.66,5.0,0.29,0.0,0.0,2.41,2.76,2.61,0.75,1.44,1.36,8.33,0.96,2.3,14.29,0.95,7.69,7.14,7.14
31,colegiocb,0.87,1.25,2.61,0.92,2.96,1.93,0.77,0.0,0.0,0.0,2.5,9.09,1.32,1.83,1.05,0.77,1.62,1.56,1.85,0.69,0.0,0.0,1.16,1.06,1.45,0.82
32,colegiodasamericas,1.23,1.0,0.94,0.5,2.33,5.57,3.26,3.33,2.5,0.0,0.0,1.5,3.42,5.21,1.2,2.11,0.5,5.17,9.25,0.69,16.5,12.5,1.07,9.25,1.58,2.5
33,colegioeag,1.02,1.35,1.61,0.11,0.15,1.82,0.12,0.09,1.8,0.0,0.0,0.0,0.13,1.2,0.3,0.31,0.86,1.38,0.0,1.06,0.5,0.0,1.19,2.0,0.89,7.69
34,colegioecursodesafio,0.79,1.15,3.23,2.71,2.65,1.73,0.15,0.64,1.8,0.12,0.0,0.0,1.68,1.75,2.33,4.55,7.69,1.94,0.08,1.16,0.0,0.0,1.14,0.25,2.36,0.91
35,colegioecursoprogressao,1.31,0.83,1.35,1.8,2.17,0.43,0.37,2.0,0.0,0.0,0.0,0.0,4.58,1.21,2.2,0.22,2.0,0.83,0.25,0.37,0.0,0.0,1.09,0.5,0.5,0.5
36,colegioeducallis,0.92,0.98,4.35,0.79,7.69,0.0,0.12,2.94,0.0,0.17,0.0,0.0,1.82,0.0,2.23,2.31,0.0,1.17,0.0,1.12,0.0,0.0,0.85,0.05,0.03,0.0
37,colegioensitec,1.05,1.3,0.82,0.4,1.92,2.57,0.16,6.44,1.5,0.0,0.0,0.0,2.05,2.07,1.1,1.67,0.25,5.83,0.25,0.83,0.0,0.0,1.08,2.75,0.83,1.5
38,colegioflamingo,1.13,0.9,1.82,1.8,8.33,3.71,0.21,0.56,0.0,0.0,0.0,0.0,3.95,2.07,3.4,4.33,6.75,3.5,0.0,0.84,0.0,0.0,0.85,0.0,1.0,0.0
39,colegiofuturageracao,1.11,0.88,3.65,0.1,6.08,0.14,0.32,2.78,0.0,0.25,0.0,0.0,4.47,0.07,3.9,8.56,0.0,2.0,0.0,0.99,0.0,0.0,1.09,0.25,0.67,0.5
40,colegioglobal,0.0,0.0,0.0,0.0,5.17,0.0,0.0,1.33,0.0,0.0,0.0,1.5,4.11,0.0,1.0,1.33,0.5,3.5,0.0,1.0,0.0,0.0,1.09,0.0,0.0,0.0
41,colegioguilhermedealmeida,1.14,1.02,2.57,1.11,0.23,5.88,2.12,0.18,5.0,2.5,0.0,0.0,0.39,6.67,0.67,2.35,2.45,4.17,0.0,0.96,3.6,0.0,1.13,0.29,2.7,2.54
42,colegioiguatemy,1.07,1.03,2.52,0.67,1.09,1.47,0.92,1.82,4.6,5.62,0.0,0.0,2.1,2.58,1.95,4.05,3.08,1.44,5.85,0.85,5.6,25.0,1.01,6.25,4.55,0.18
43,colegiointegral,1.02,1.61,1.07,0.89,1.39,3.44,0.11,3.45,2.4,14.29,0.0,0.0,2.08,5.88,3.23,0.88,5.56,1.43,4.42,0.96,10.0,0.0,0.0,3.77,3.36,3.64
44,colegiojoaopaulo,1.14,1.07,1.03,0.12,1.26,0.73,0.69,0.27,0.2,0.25,0.0,0.0,1.42,0.83,1.67,1.45,0.23,1.69,3.54,0.49,2.2,3.0,0.87,1.75,1.14,2.82
45,colegiomagnum,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13,0.0,0.23,0.0,0.0,1.11,0.0,0.0,1.07,0.0,0.0,0.0
46,colegiomartinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,colegionovopatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.11,0.0,0.18,0.0,1.13,0.0,0.0,1.16,0.0,0.0,1.04,0.0,0.0,0.0
48,colegioplanck,1.4,1.16,0.0,0.0,0.08,0.0,0.0,2.71,0.0,1.92,3.19,0.0,0.61,0.0,0.91,0.46,0.0,0.0,0.0,1.12,0.1,0.0,0.86,0.19,0.16,0.0
49,colegiopremium,1.26,0.87,1.76,0.2,2.25,0.43,0.26,4.56,0.0,0.0,0.0,0.0,0.63,0.14,3.0,0.78,0.0,1.5,0.0,1.02,0.0,0.0,1.09,0.0,0.17,0.0
50,colegiopremiumgentil,1.03,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
51,colegiosaberviver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,colegiosantamaria,2.54,2.54,2.0,3.75,6.67,7.89,1.6,0.0,0.0,0.0,0.0,0.0,4.89,5.0,1.8,0.17,12.5,0.0,4.83,1.47,0.0,0.0,2.94,1.57,0.0,0.0
53,colegiosete,1.0,1.11,0.96,5.26,0.85,1.76,0.75,0.47,1.55,0.33,0.0,0.0,1.79,2.53,1.77,0.54,2.32,0.88,0.0,1.0,0.0,0.71,0.95,0.57,1.35,1.08
54,colegiouirapuru,1.05,1.16,1.87,3.61,2.17,1.36,0.22,0.03,0.0,0.0,0.0,0.0,0.41,1.06,0.48,0.25,0.94,0.96,0.0,1.08,0.0,0.0,1.37,0.0,0.43,0.0
55,colegiouniverso,0.94,1.75,0.04,0.21,0.38,0.24,0.0,1.62,4.4,0.0,0.0,0.0,0.53,0.2,0.74,0.15,0.23,0.08,0.0,1.12,0.0,0.0,0.98,0.05,0.57,2.31
56,colegioup,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.56,0.0,2.29,2.05,0.07,0.26,0.0,1.15,0.0,0.0,1.12,0.0,0.0,12.5
57,conexaosaber,0.9,0.85,5.71,0.0,1.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.7,2.11,0.0,0.5,0.25,1.1,0.0,0.0,1.09,0.5,0.42,2.5
58,contemporaneocidadeverde,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.81,0.0,0.74,0.0,0.23,0.0,0.0,0.8,0.0,0.0,1.14,0.0,0.0,0.0
59,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.65,0.0,0.0,0.0,0.0,1.16,0.0,0.49,0.0,1.41,0.0,0.0,1.04,0.0,0.0,1.18,0.0,0.0,0.0
60,crb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,3.03,0.0,1.52,3.03,0.0,0.0,0.0,1.49,3.03,0.0,0.0,0.0,0.0,3.03
61,crescercampinas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,2.08,0.0,1.42,2.78,0.92,2.06,0.0,1.36,5.88,0.0,0.0,0.0,0.0,0.74
62,cursobase,1.56,0.83,0.0,0.8,0.0,0.14,0.0,0.56,0.5,0.25,0.0,0.0,0.11,0.29,0.3,0.11,0.0,1.0,0.0,1.11,0.0,0.0,1.09,0.0,0.08,0.0
63,cursoenfase,1.61,0.85,0.0,0.1,0.0,0.14,0.05,0.33,0.0,0.0,0.0,0.0,0.16,0.29,0.4,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.04,0.0,0.17,0.0
64,cursoisfera,1.58,0.83,0.0,0.2,0.17,0.14,0.0,1.89,0.0,1.0,0.0,0.0,1.16,0.07,4.6,0.44,0.25,0.17,0.0,1.11,0.5,0.0,0.42,0.0,0.0,0.0
65,cursoleopoldo,1.11,1.37,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2.0,1.5,0.21,0.0,0.1,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.08,0.0
66,cursosazambuja,0.91,1.47,0.61,0.58,0.09,0.13,0.15,0.45,0.2,0.38,0.0,0.0,0.42,0.67,0.92,0.05,0.54,0.0,0.08,1.25,20.0,0.75,0.93,0.25,0.32,0.0
67,deltaeducacional,0.0,0.0,0.0,0.0,4.55,0.0,0.0,5.56,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,1.12,0.0,0.0,0.0
68,dommga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.12,0.0,0.0,0.0
69,domus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.07,0.0,0.0,0.0
70,eacorcovado,1.09,1.03,2.1,0.79,0.04,2.6,0.92,0.0,2.4,0.12,0.0,0.0,0.03,2.67,0.36,0.86,0.54,0.81,0.0,1.19,1.8,0.0,1.1,0.06,0.23,0.45
71,eccos,1.4,0.9,0.76,0.6,1.58,3.86,0.58,0.67,3.5,0.25,1.0,1.5,2.58,3.29,1.2,4.11,0.0,5.67,23.25,0.97,19.0,18.75,1.04,25.0,8.33,1.0
72,educandarioterciocorreia,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.78,0.0,0.0,0.0,0.0,2.78,0.0,2.29,3.25,2.27,5.26,0.0,1.16,12.5,0.0,1.12,0.0,0.0,0.0
73,educarse,1.03,1.27,0.0,1.0,0.25,1.14,1.16,2.22,0.0,0.0,0.0,0.0,0.47,0.5,2.1,0.11,0.0,0.33,0.0,1.11,0.0,0.0,1.09,0.0,0.42,0.0
74,einsteinassis,0.92,1.35,0.41,2.0,0.33,14.29,2.95,0.0,50.0,25.0,0.0,4.0,0.26,7.0,4.1,11.11,6.0,1.0,0.0,1.11,1.5,0.0,0.93,0.25,0.5,0.5
75,elitecuritiba,1.43,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.16,0.0,0.27,0.0
76,elitecuritibaemilianoperneta,1.44,0.83,0.12,1.3,1.5,0.71,0.21,3.67,1.0,0.5,1.0,2.5,5.21,1.57,1.7,4.22,1.5,1.67,0.0,0.89,0.0,0.0,0.58,0.0,0.08,0.0
77,escolaceciliameireles,0.84,0.88,5.88,0.0,0.83,0.0,0.0,0.78,0.5,0.0,0.0,0.0,0.79,0.07,1.2,3.0,0.0,0.0,0.0,1.11,0.5,0.0,1.09,0.0,0.08,0.0
78,escolamaster,1.06,1.03,0.0,4.7,0.25,0.29,0.11,0.22,0.0,0.0,0.0,0.0,0.26,0.07,0.4,0.22,1.0,0.0,0.0,1.06,0.0,0.0,1.0,0.0,0.0,0.0
79,escolavida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,faculdadeflamingo,1.43,1.19,0.53,0.78,0.33,0.92,1.78,0.03,0.3,0.14,0.0,0.0,0.19,1.18,0.39,0.31,0.0,0.25,0.67,0.36,0.2,0.0,1.15,1.08,1.36,0.43
81,forumcultural,2.46,2.58,0.5,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,11.11,0.0,0.0,0.0,0.0
82,francobrasileiro,0.0,0.0,0.0,0.0,0.0,1.57,0.16,0.11,0.0,0.25,8.0,5.5,0.05,2.5,0.5,0.0,0.25,0.0,0.0,1.02,0.0,0.0,1.09,0.25,0.0,0.0
83,fundacaobradesco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,idaam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.99,0.0,0.0,0.0
85,insa,1.18,1.17,0.41,1.1,0.25,0.57,0.26,0.44,0.0,1.25,0.0,2.5,0.21,1.86,1.6,0.0,8.25,0.5,0.0,1.11,0.0,0.0,1.02,0.0,2.58,0.0
