,namespace,Produto,n_usuarios,licenças,Deal Owner,receita 2021,namespace hubspot
0,acessoalmirantetamandare,Pedagógico,209.0,30 - 400,Ederson Fonseca,15617.96,OK
1,acessoboqueirao,Pedagógico,481.0,400 - 800,Ederson Fonseca,39554.28,OK
2,acessocampolargo,Pedagógico,243.0,30 - 400,Ederson Fonseca,20676.23,OK
4,acessocampolargokids,Pedagógico,97.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
5,acessofazendariogrande,Pedagógico,325.0,30 - 400,Ederson Fonseca,26058.48,OK
6,acessohauer,Pedagógico,354.0,30 - 400,Ederson Fonseca,25836.08,OK
7,acessopinhais,Pedagógico,130.0,30 - 400,Ederson Fonseca,10837.72,OK
8,acessosantafelicidade,Pedagógico,438.0,400 - 800,Ederson Fonseca,35564.7,OK
9,acessosjpinhais,Pedagógico,789.0,400 - 800,Ederson Fonseca,53883.69,OK
10,adrianochan,Pedagógico,547.0,400 - 800,Marcos Rocha,27400.0,OK
11,aescobjetivo,Pedagógico,982.0,800 - 1200,Marcos Rocha,31500.0,OK
12,albertsabin,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
13,amadeus,Pedagógico,1313.0,1200 - x,Marcos Rocha,33651.07,OK
14,apogeustoantonio2,Pedagógico,1486.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
15,aprovest,Diagnóstico,85.0,30 - 400,Fernanda Pereira,2146.91,OK
16,brasilcursinhos,Pedagógico,229.0,30 - 400,Fernanda Pereira,S/Receita 2021 Hubspot,OK
17,camerinocursos,Pedagógico,970.0,800 - 1200,Fernanda Pereira,2739.26,OK
18,casdinhosjc,Pedagógico,1626.0,1200 - x,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
19,casdvest,Pedagógico,1863.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
20,cbpdigital,Diagnóstico,385.0,30 - 400,Marcos Rocha,13770.0,OK
21,ceabb,Pedagógico,100.0,30 - 400,Fernanda Moreira,5503.7,OK
22,ceespacolivre,Pedagógico,501.0,400 - 800,Marcos Rocha,38052.0,OK
23,cem,Pedagógico,175.0,30 - 400,Fernanda Moreira,14919.0,OK
24,ceprimeiromundo,Pedagógico,897.0,800 - 1200,Ederson Fonseca,48324.77,OK
25,ciadosaber,Pedagógico,146.0,30 - 400,Fernanda Moreira,22661.1,OK
26,cnslpb,Diagnóstico,588.0,400 - 800,Fernanda Pereira,1814.16,OK
27,colegioarena,Pedagógico,1206.0,1200 - x,Marcos Rocha,37828.8,OK
28,colegiobatistaindependente,Diagnóstico,94.0,30 - 400,Fernanda Moreira,3810.24,OK
29,colegiobetelbrasileirosp,Pedagógico,458.0,400 - 800,Marcos Rocha,31978.8,OK
30,colegiobilac,Pedagógico,335.0,30 - 400,Fernanda Moreira,7725.6,OK
31,colegiobrasilia,Pedagógico,1334.0,1200 - x,Magnum Queiroz,146244.71,OK
32,colegiocb,Pedagógico,407.0,400 - 800,Marcos Rocha,35310.1,OK
33,colegiodasamericas,Pedagógico,334.0,30 - 400,Magnum Queiroz,68364.29,OK
34,colegioeag,Pedagógico,885.0,800 - 1200,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
35,colegioecursodesafio,Pedagógico,719.0,400 - 800,Fernanda Moreira,16193.52,OK
36,colegioecursoprogressao,Pedagógico,386.0,30 - 400,Marcos Rocha,25686.4,OK
37,colegioeducallis,Pedagógico,882.0,800 - 1200,Marcos Rocha,32127.55,OK
38,colegioensitec,Pedagógico,331.0,30 - 400,Fernanda Moreira,27720.0,OK
39,colegioflamingo,Pedagógico,242.0,30 - 400,Fernanda Moreira,7711.2,OK
40,colegiofuturageracao,Pedagógico,69.0,30 - 400,Fernanda Moreira,9600.0,OK
41,colegioglobal,Pedagógico,297.0,30 - 400,Marcos Rocha,20952.0,OK
42,colegioguilhermedealmeida,Pedagógico,835.0,800 - 1200,Marcos Rocha,43848.0,OK
43,colegioiguatemy,Pedagógico,438.0,400 - 800,Marcos Rocha,31978.8,OK
44,colegiointegral,Pedagógico,1882.0,1200 - x,Marcos Rocha,18000.0,OK
46,colegiojoaopaulo,Pedagógico,576.0,400 - 800,Ederson Fonseca,40544.15,OK
47,colegioliceu,Pedagógico,185.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
48,colegiomagnum,Pedagógico,502.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
49,colegiomartinus,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
50,colegionovopatio,Diagnóstico,397.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
51,colegioplanck,Pedagógico,841.0,800 - 1200,Marcos Rocha,20691.0,OK
52,colegiopremium,Pedagógico,154.0,30 - 400,Fernanda Pereira,5028.0,OK
53,colegiopremiumgentil,Pedagógico,141.0,30 - 400,Fernanda Pereira,7542.0,OK
54,colegiosaberviver,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
55,colegiosantamaria,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
56,colegiosete,Pedagógico,985.0,800 - 1200,Marcos Rocha,25175.77,OK
57,colegiouirapuru,Pedagógico,1295.0,1200 - x,Marcos Rocha,45356.0,OK
58,colegiouniverso,Pedagógico,1037.0,800 - 1200,Fernanda Pereira,15084.0,OK
59,colegioup,Diagnóstico,239.0,30 - 400,Fernanda Moreira,15498.0,OK
60,conexaosaber,Pedagógico,243.0,30 - 400,Fernanda Moreira,16344.0,OK
61,contemporaneocidadeverde,Pedagógico,665.0,400 - 800,55387054,45932.75,OK
63,contemporaneolagoanova,Pedagógico,949.0,800 - 1200,Ederson Fonseca,62597.1,OK
64,crb,Diagnóstico,1435.0,1200 - x,Magnum Queiroz,50120.79,OK
65,crescercampinas,Diagnóstico,675.0,400 - 800,Fernanda Pereira,2211.24,OK
66,cursobase,Pedagógico,121.0,30 - 400,Fernanda Pereira,3464.16,OK
67,cursoenfase,Pedagógico,225.0,30 - 400,Ederson Fonseca,13509.73,OK
68,cursoisfera,Pedagógico,96.0,30 - 400,Fernanda Pereira,5040.0,OK
69,cursoleopoldo,Pedagógico,259.0,30 - 400,Fernanda Pereira,21312.0,OK
70,cursosazambuja,Pedagógico,742.0,400 - 800,Fernanda Pereira,25368.0,OK
71,deltaeducacional,Diagnóstico,153.0,30 - 400,Fernanda Moreira,5760.0,OK
72,dommga,Diagnóstico,38.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
73,domus,Diagnóstico,102.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
74,eacorcovado,Pedagógico,695.0,400 - 800,Marcos Rocha,41880.0,OK
75,eccos,Pedagógico,281.0,30 - 400,Marcos Rocha,20772.98,OK
76,educandarioterciocorreia,Diagnóstico,104.0,30 - 400,Fernanda Pereira,2775.0,OK
77,educarse,Pedagógico,55.0,30 - 400,Fernanda Pereira,1257.1,OK
78,einsteinassis,Pedagógico,108.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
79,elitecuritiba,Pedagógico,521.0,400 - 800,Ederson Fonseca,28316.16,OK
80,elitecuritibaemilianoperneta,Pedagógico,127.0,30 - 400,Ederson Fonseca,9633.49,OK
81,escolaceciliameireles,Pedagógico,203.0,30 - 400,Fernanda Pereira,8736.0,OK
82,escolamaster,Pedagógico,226.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
83,escolavida,Pedagógico,39.0,30 - 400,Talitha Diane Santos,1410.0,OK
84,faculdadeflamingo,Pedagógico,1644.0,1200 - x,Fernanda Moreira,47124.0,OK
85,forumcultural,Pedagógico,26.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
86,francobrasileiro,Pedagógico,65.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
87,fundacaobradesco,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
88,idaam,Pedagógico,2846.0,1200 - x,Bruno Oliveira,S/Receita 2021 Hubspot,OK
89,insa,Pedagógico,104.0,30 - 400,Fernanda Pereira,6093.36,OK
90,institutocristao,Diagnóstico,47.0,30 - 400,Fernanda Pereira,1935.15,OK
91,institutoeurofarma,Pedagógico,274.0,30 - 400,Fernanda Pereira,1236.0,OK
92,integra,Pedagógico,163.0,30 - 400,Ederson Fonseca,S/Receita 2021 Hubspot,OK
93,integradaeducativa,Pedagógico,551.0,400 - 800,Marcos Rocha,26191.62,OK
94,invictus,Pedagógico,125.0,30 - 400,Fernanda Moreira,10080.0,OK
95,isem,Pedagógico,438.0,400 - 800,Fernanda Moreira,8342.84,OK
96,ismart,Pedagógico,378.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
97,itamarati,Pedagógico,641.0,400 - 800,Ederson Fonseca,35461.94,OK
98,jardimsaopaulo,Pedagógico,242.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
99,laboratoriosromildo,Pedagógico,144.0,30 - 400,Fernanda Pereira,9595.63,OK
100,litteratus,Pedagógico,215.0,30 - 400,Marcos Rocha,5175.0,OK
101,macvest,Pedagógico,110.0,30 - 400,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
102,magister,Diagnóstico,282.0,30 - 400,Marcos Rocha,14427.0,OK
103,maplebearslz,Diagnóstico,537.0,400 - 800,Marcos Rocha,25880.0,OK
104,mariliamattoso,Pedagógico,575.0,400 - 800,Ederson Fonseca,34352.35,OK
105,master,Pedagógico,4156.0,1200 - x,Magnum Queiroz,83160.0,OK
106,montessori,Diagnóstico,61.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
107,motiva,Pedagógico,233.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
108,murilorocha,Pedagógico,596.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
109,novotempo,Pedagógico,941.0,800 - 1200,Ederson Fonseca,40545.78,OK
110,nucleocriativo,Pedagógico,232.0,30 - 400,Fernanda Moreira,16934.4,OK
111,objetivolorena,Pedagógico,672.0,400 - 800,Fernanda Moreira,29400.0,OK
112,objetivoteresina,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
113,oficinadoestudante,Pedagógico,2267.0,1200 - x,Marcos Rocha,43312.5,OK
114,overabelcabral,Pedagógico,647.0,400 - 800,Ederson Fonseca,47064.32,OK
115,overjoaopessoa,Pedagógico,127.0,30 - 400,Ederson Fonseca,5254.08,OK
116,overlimaesilva,Pedagógico,166.0,30 - 400,Ederson Fonseca,10720.2,OK
117,overmarciliofurtado,Pedagógico,320.0,30 - 400,Ederson Fonseca,26441.45,OK
118,overmossoro,Pedagógico,230.0,30 - 400,Ederson Fonseca,17657.22,OK
119,overnascimentodecastro,Pedagógico,431.0,400 - 800,Ederson Fonseca,25377.22,OK
120,overpontanegra,Pedagógico,349.0,30 - 400,Ederson Fonseca,27219.01,OK
121,overzonanorte,Pedagógico,243.0,30 - 400,Ederson Fonseca,19250.93,OK
122,palmares,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
123,physicsalcindocacela,Pedagógico,841.0,800 - 1200,Ederson Fonseca,46041.57,OK
124,physicsalmirantebarroso,Pedagógico,765.0,400 - 800,Ederson Fonseca,52454.65,OK
125,physicsaugustomontenegro,Pedagógico,595.0,400 - 800,Ederson Fonseca,40155.19,OK
126,physicsbatistacampos,Pedagógico,435.0,400 - 800,Ederson Fonseca,31255.02,OK
127,physicscidadenova,Pedagógico,905.0,800 - 1200,Ederson Fonseca,59378.08,OK
128,physicsconselheirofurtado,Pedagógico,467.0,400 - 800,Ederson Fonseca,36240.86,OK
129,physicsmacapa,Pedagógico,192.0,30 - 400,Ederson Fonseca,16372.38,OK
130,physicsumarizal,Pedagógico,460.0,400 - 800,Ederson Fonseca,33454.31,OK
131,pioxi,Pedagógico,1092.0,800 - 1200,Marcos Rocha,51786.0,OK
132,pioxiicolegio,Diagnóstico,671.0,400 - 800,Marcos Rocha,13680.0,OK
133,plannetataboao,Diagnóstico,16273.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
134,poliedro,Diagnóstico,3442.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
135,portinari,Pedagógico,971.0,800 - 1200,Ederson Fonseca,69934.05,OK
136,porto,Pedagógico,740.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
137,portoseguro,Diagnóstico,567.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
138,prevest,Diagnóstico,54.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
139,primeirodemaio,Pedagógico,199.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
140,prismapatrocinio,Diagnóstico,797.0,400 - 800,Fernanda Moreira,19470.0,OK
141,profederal,Pedagógico,373.0,30 - 400,Marcos Rocha,28372.8,OK
142,provaspoliedro,Pedagógico,3931.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
143,psantagema,Pedagógico,112.0,30 - 400,Fernanda Moreira,14095.49,OK
144,sagradafamilia,Pedagógico,207.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
145,santadoroteia,Pedagógico,89.0,30 - 400,Bruno Oliveira,S/Receita 2021 Hubspot,OK
146,santoagostinho,Pedagógico,68.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
147,santoamerico,Pedagógico,732.0,400 - 800,Bruno Oliveira,20000.0,OK
148,santoantonio,Pedagógico,48.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
149,sas,Pedagógico,13.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
150,sasadapt,Pedagógico,266.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
151,sasadaptem,Pedagógico,28.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
152,saseducacao,Pedagógico,33.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
153,serios,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
154,simbios,Pedagógico,492.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
155,souhabilis,Pedagógico,178.0,30 - 400,Fernanda Moreira,13453.6,OK
156,spdacruz,Pedagógico,702.0,400 - 800,Marcos Rocha,32312.89,OK
157,stellamarisaguaverde,Pedagógico,298.0,30 - 400,Ederson Fonseca,21808.16,OK
158,stellamarisjuveve,Pedagógico,882.0,800 - 1200,Ederson Fonseca,58534.4,OK
159,stellamarisxaxim,Pedagógico,440.0,400 - 800,Ederson Fonseca,30169.07,OK
160,universitariolondrina,Pedagógico,1546.0,1200 - x,Ederson Fonseca,122128.43,OK
161,universobarcarena,Pedagógico,544.0,400 - 800,Fernanda Pereira,27654.0,OK
162,villalobos,Pedagógico,1294.0,1200 - x,Magnum Queiroz,93762.14,OK
163,abdiasmartins,Pedagógico,369.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
164,abiliomartins,Pedagógico,225.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
165,alfacembilingue,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
166,alpha,Pedagógico,539.0,400 - 800,Fernanda Moreira,11351.34,OK
167,anossaatmosfera,Pedagógico,105.0,30 - 400,Fernanda Pereira,5040.0,OK
168,antoniairene,Pedagógico,129.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
169,antoniolima,Pedagógico,162.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
170,antoniomelo,Pedagógico,245.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
171,arena,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
172,atmo,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
173,beityaacov,Pedagógico,27.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
174,benjaminconstant,Pedagógico,17.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
175,catarinense,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
176,charlesdarwin,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
177,cognitivo,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
178,colegiobianguloiv,Pedagógico,18.0,0 - 30,Bruno Oliveira,S/Receita 2021 Hubspot,OK
179,colegioprogresso,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
180,colegioriobranco,Pedagógico,4.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
181,conradochaves,Pedagógico,279.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
182,culturainglesa,Pedagógico,21.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
183,dante,Pedagógico,111.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
184,darwin,Pedagógico,1044.0,800 - 1200,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
185,educamais,Pedagógico,17.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
186,eldapereira,Pedagógico,188.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
187,equipe,Pedagógico,20.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
188,escoladofuturo,Pedagógico,56.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
189,escolainternacional,Pedagógico,10.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
190,escolajardimdasnacoes,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
191,franciscoperes,Pedagógico,48.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
192,galois,Pedagógico,3.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
193,gamt,Pedagógico,145.0,30 - 400,Fernanda Pereira,8841.88,OK
194,guilhermefilho,Pedagógico,308.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
195,hamiltondarocha,Pedagógico,397.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
196,idb,Pedagógico,23.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
197,ipdhsolucoes,Pedagógico,5110.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
198,iracemarufino,Pedagógico,224.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
199,jeanpiaget,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
200,joaobelem,Pedagógico,218.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
